"Дата и время: начало(минимум)","Дата и время","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Ветер: зональная составляющая скорости ветра (u-компонента ветра)","Ветер: меридиональная  составляющая скорости ветра (v- компонента ветра)","Волнение преобладающее: высота","Волнение ветровое: длина средняя","Волнение ветровое: период  средний","Волнение преобладающее: направление","Волнение: зыбь 1-й системы, высота","Волнение: зыбь 1-й системы, направление"
"2021-03-07 00:00:00","2021-03-08 15:00:00","40.9","38.4","-1.9","-0.3","0.3","28","4.1","","0.3",""
"2021-03-07 00:00:00","2021-03-08 15:00:00","40.9","38.5","-1.6","-0.6","0.3","31","4.3","","0.3",""
"2021-03-07 00:00:00","2021-03-08 12:00:00","45.3","35.4","4.6","0.8","","","","","",""
"2021-03-07 00:00:00","2021-03-08 12:00:00","45.3","35.5","3.6","1.3","","","","","",""
"2021-03-07 00:00:00","2021-03-10 00:00:00","42.9","28.2","-5.0","-0.5","0.5","26","3.9","","",""
"2021-03-07 00:00:00","2021-03-10 00:00:00","43.2","29.8","-8.1","-0.4","1.0","27","4.0","","",""
"2021-03-07 00:00:00","2021-03-09 09:00:00","40.9","38.4","0.8","-2.0","0.1","24","3.7","","0.1",""
"2021-03-07 00:00:00","2021-03-09 09:00:00","40.9","38.5","0.9","-1.9","0.2","27","3.9","","0.2",""
"2021-03-07 00:00:00","2021-03-07 00:00:00","42.0","40.0","5.1","-3.8","1.0","32","4.3","","",""
"2021-03-07 00:00:00","2021-03-07 00:00:00","40.9","38.4","4.5","-3.1","0.6","27","4.0","","0.2","214"
"2021-03-07 00:00:00","2021-03-07 06:00:00","41.7","37.4","-3.0","-8.0","1.7","60","6.0","","",""
"2021-03-07 00:00:00","2021-03-07 06:00:00","43.0","38.2","0.0","-9.0","1.7","56","5.8","","",""
"2021-03-07 00:00:00","2021-03-07 09:00:00","42.0","31.0","-3.0","-4.7","1.2","52","5.6","","",""
"2021-03-07 00:00:00","2021-03-07 09:00:00","45.9","33.0","7.6","0.4","0.5","14","3.1","","",""
"2021-03-07 00:00:00","2021-03-07 18:00:00","40.9","38.4","-2.3","-1.9","0.9","64","6.2","","0.9",""
"2021-03-07 00:00:00","2021-03-07 18:00:00","40.9","38.5","-2.0","-1.7","1.0","72","6.6","","1.0",""
"2021-03-07 00:00:00","2021-03-09 06:00:00","41.3","30.1","1.7","1.7","0.2","25","3.9","","0.2","217"
"2021-03-07 00:00:00","2021-03-09 06:00:00","41.3","30.2","1.6","1.9","0.2","25","3.9","","0.2","218"
"2021-03-07 00:00:00","2021-03-08 18:00:00","45.3","35.4","6.7","0.8","","","","","",""
"2021-03-07 00:00:00","2021-03-08 18:00:00","45.3","35.5","6.3","0.9","","","","","",""
"2021-03-07 00:00:00","2021-03-07 03:00:00","44.0","28.9","-1.4","-5.0","0.8","42","5.0","","",""
"2021-03-07 00:00:00","2021-03-07 03:00:00","44.0","29.0","-1.3","-5.2","0.8","43","5.0","","",""
